1010   11  111 EBIS
1011   10  111 TapeT0
1012    1   30 GE
1013    1   31 GE
1014   12  111 BETA
1015    1   33 GE
1016    1   34 Ge
1017    1   35 GE
1018    1   36 GE
1019    1   37 GE
1020    1    1 GE
1021    1    2 GE
1022    1    3 GE
1023    1    4 GE
1024    1    5 GE
1025    1    6 GE
1026    1    7 GE
1027    1    8 GE
1028    1    9 GE
1029    1   10 GE
1030   11  111 EBIS
1031   10  111 TapeT0
1032    4   88 AUX
1033    4   88 AUX
1034   12  111 BETA
1035    4   88 AUX
1036    4   88 AUX
1037    4   88 AUX
1038    4   88 AUX
1039    1   88 AUX
1040    1   11 GE
1041    1   12 GE
1042    1   13 GE
1043    1   14 GE
1044    1   15 GE
1045    1   16 GE
1046    1   17 GE
1047    1   18 GE
1048    1   19 GE
1049    1   20 GE

